Player Name,Club,Nationality,Position,Appearances,Minutes,Goals,Assists,Shots,Shots On Target,Conversion %,Big Chances Missed,Hit Woodwork,Offsides,Touches,Passes,Successful Passes,Passes%,Crosses,Successful Crosses,Crosses %,fThird Passes,Successful fThird Passes,fThird Passes %,Through Balls,Carries,Progressive Carries,Carries Ended with Goal,Carries Ended with Assist,Carries Ended with Shot,Carries Ended with Chance,Possession Won,Dispossessed,Clean Sheets,Clearances,Interceptions,Blocks,Tackles,Ground Duels,gDuels Won,gDuels %,Aerial Duels,aDuels Won,aDuels %,Goals Conceded,xGoT Conceded,Own Goals,Fouls,Yellow Cards,Red Cards,Saves,Saves %,Penalties Saved,Clearances Off Line,Punches,High Claims,Goals Prevented,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Ben White,Arsenal,England,DEF,17,1198,-0.5180363307339637,0.3889426623286041,-0.38197816656132805,0.6900718354150918,1.1102434127256042,-0.572643187904888,-0.503435446259283,-0.3064539131639797,-0.03299714806787297,1.9509814484015435,2.029213795927116,1.0824198728704735,1.4293003332568226,1.1442038012451208,0.6103875862349839,3.0942217801040997,3.3801522110843276,1.1999243540882676,0.47254208098570755,2.69173875265916,2.4701843818838096,-0.35282393532700934,-0.42153813856957967,0.19795959898114165,2.478401575730689,1.028996154927065,-0.42346025796676495,0.9312057868119911,0.18025700955168347,1.0227092171188104,0.2118940603768963,-0.1339600662923605,1.443284086842993,1.4430455141085112,0.8837572022113306,-0.35100760711965945,-0.4445735067606467,0.25628688172988984,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,-0.28584897586745195,-0.2751383136649881,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.0,0.15,0.68,0.9,0.0,62.58,126.06,112.16,3.83,0.75,53.64,44.47,0.3,43.8,22.24,8.04,0.45,2.85,1.73,0.45,1.5,17.35,8.71,1.2,0.38,0.0
Bukayo Saka,Arsenal,England,MID,25,1735,1.2958977370073923,4.032038932806529,2.216302367084968,-0.3739072359245011,2.718034174035777,1.5728599561120926,-0.503435446259283,1.1634786546723495,0.3253420592240313,0.23266553438836143,0.24554067833538237,1.0346279124231932,-0.5362149532517766,-0.534758434524482,-0.6956768472851413,-0.5194911083118292,-0.5591789248604951,0.5811984006438385,-0.26857973161141147,0.16844480816984633,-0.0500797143937128,-0.35282393532700934,-0.42153813856957967,-0.3747729344932554,-0.5983459105649196,-0.08644802673197803,1.7464186932879806,-0.05622374561883716,-0.5837642159438328,0.4098742657438708,1.2775268293416904,0.23150380388388522,-0.2706058505908615,-0.1727895882380878,1.2263418074217007,0.31396065753641517,0.30635412629841186,1.0433536988457264,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,0.04689154699399786,0.08869164464024318,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.31,0.52,3.48,0.1,0.41,56.75,33.35,28.84,0.05,0.0,2.85,1.71,0.05,8.66,3.58,2.28,2.07,0.31,0.78,0.73,1.5,3.01,1.76,2.33,1.19,0.0
David Raya,Arsenal,Spain,GKP,38,3420,-0.5180363307339637,-0.5218314052908772,-0.7851596286788567,-0.5867030501924196,-0.631529912027083,-0.572643187904888,-0.503435446259283,-0.5514426744700346,1.018680372183463,-0.8348486034961564,-0.8128608727649419,-1.0443223670334958,-0.5755252589819485,-0.534758434524482,-0.6956768472851413,-0.82109081827067,-0.7917333568572378,-1.0328693039938024,-0.5156203358104511,-0.8445121358919694,-0.8161511797820347,-0.35282393532700934,-0.42153813856957967,-0.5179560678618547,-0.5983459105649196,-0.8654884075732144,-0.806380072894073,3.564351206627533,-0.034623960118930465,-0.7391912680841408,-0.5873305163466993,-0.9461020000173511,-0.8452047891525006,-0.8427699965281411,-1.019490604512948,-0.7178866496885282,-0.6531645159437185,-0.9636666847996569,3.769001736085934,4.017741843240423,-0.21212765159852123,-0.8847819170180616,0.08869164464024318,-0.30076400330123915,4.399956141890686,4.805572416939169,-0.1332185912175843,-0.3081052510416673,2.661813025498995,8.305084320123923,3.200474857853982,0.0,0.0,0.0,0.0,0.0,42.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89
Declan Rice,Arsenal,England,MID,35,2833,0.6912530477602736,2.665877831377307,1.3651415026146296,1.3284592782188476,1.378208539610633,-0.03626740190064285,-0.503435446259283,-0.06146515185792483,1.5911993355578846,0.47505599182403735,0.4073466708597125,0.8912520310813526,1.9010240020188864,0.6405151305142399,0.022658591150927512,1.8110521050064858,1.7734124991068327,1.0116164552138762,2.2018263103789852,1.6484537563799244,2.070494921681207,2.970422740434654,1.5692554234144855,2.059340332772932,3.3833273069941034,1.276872639740186,1.2358589400515698,1.5894921417658767,0.46676496911250204,0.25666552790013597,0.07868996425629703,1.206074124353874,2.5429475727109576,1.5415720447394015,0.31278286019404694,-0.12170820551411647,-0.2359824975775749,0.5711136085762246,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,0.44618017442773766,0.8163515612507057,2.949800801608307,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.13,0.22,1.52,0.57,0.06,64.05,25.07,20.36,2.0,0.22,15.25,11.56,0.35,13.06,8.26,3.84,1.02,1.59,0.41,0.16,1.68,10.86,3.84,0.83,0.32,0.0
Ethan Nwaneri,Arsenal,England,MID,26,889,0.6912530477602736,-0.5218314052908772,0.2899909369678864,-0.5867030501924196,-0.631529912027083,-0.572643187904888,2.5388303687699327,0.9184898933662946,-0.351520887882899,-0.8348486034961564,-0.8128608727649419,-1.0443223670334958,-0.5755252589819485,-0.534758434524482,-0.6956768472851413,-0.82109081827067,-0.7917333568572378,-1.0328693039938024,-0.5156203358104511,-0.8445121358919694,-0.8161511797820347,-0.35282393532700934,-0.42153813856957967,-0.5179560678618547,-0.5983459105649196,-0.8654884075732144,0.27855940273329977,-0.3853669230957799,-0.6315155425373025,-0.7391912680841408,-0.5873305163466993,-0.4994239364686063,-0.8452047891525006,-0.8427699965281411,-1.019490604512948,-0.7178866496885282,-0.6531645159437185,-0.9636666847996569,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,-0.35239708043974194,-0.6389682719702193,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.4,0.0,2.43,0.0,0.0,60.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.4,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,Arsenal,Brazil,FWD,17,603,0.38893070313671424,-0.5218314052908772,0.11079917602676258,-0.5867030501924196,-0.631529912027083,0.23192049110147972,0.5106531587504555,1.6534561772844591,-0.7263354610273046,-0.8348486034961564,-0.8128608727649419,-1.0443223670334958,-0.5755252589819485,-0.534758434524482,-0.6956768472851413,-0.82109081827067,-0.7917333568572378,-1.0328693039938024,-0.5156203358104511,-0.8445121358919694,-0.8161511797820347,-0.35282393532700934,-0.42153813856957967,-0.5179560678618547,-0.5983459105649196,-0.8654884075732144,0.02327952611509439,-0.3853669230957799,-0.5598885526470978,-0.7391912680841408,-0.5873305163466993,-0.5400310331548558,-0.8452047891525006,-0.8427699965281411,-1.019490604512948,-0.7178866496885282,-0.6531645159437185,-0.9636666847996569,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,-0.0196565575782921,0.45252160294547444,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.45,0.0,2.99,0.0,0.45,48.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.04,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0
Gabriel Magalhães,Arsenal,Brazil,DEF,28,2365,0.38893070313671424,-0.06644437148113658,0.2003950564973245,2.073244628156562,1.378208539610633,0.5001083841036023,0.5106531587504555,-0.5514426744700346,1.4470398843484977,0.14467447792198596,0.07421668625079748,0.8434600706340725,2.923091951003358,2.9910622605916837,0.8716004729390089,1.0378601212938214,0.9982310591176906,0.9847153268032489,0.7195826851847472,1.1995985835621137,1.5819855814335815,-0.35282393532700934,2.564652204406518,2.059340332772932,3.3833273069941034,0.5155377220998865,-0.6787401345849703,2.576921674196705,1.3979158376851624,-0.35616942347480357,-0.5873305163466993,0.06907541713888712,1.1956121305664245,0.6745385751875679,0.38891277246301814,0.5661899993025125,0.05604491527872567,0.21693354087409797,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,0.31308396528315774,0.45252160294547444,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.11,0.04,0.84,0.95,0.15,72.72,22.45,17.73,3.39,0.8,12.9,9.67,0.19,12.82,8.22,2.97,0.08,3.39,0.19,0.0,0.95,7.84,2.93,2.13,0.65,0.0
Gabriel Martinelli,Arsenal,Brazil,MID,33,2300,1.900542426254511,1.2997167299480854,1.6787270842615964,0.6900718354150918,0.7082957223980612,1.5728599561120926,-0.503435446259283,1.4084674159784043,0.3102396405259051,-0.26373684077100223,-0.3636112935209194,0.6045002683976712,-0.22173250741040068,-0.3668622109475217,0.022658591150927512,0.3304717106630858,0.13848437112973286,0.6619017858757207,2.4488669145780246,0.2594289648221052,0.40512217083702917,0.7549249565935451,1.5692554234144855,1.6297909326671343,0.4875649669511777,0.3030721636886402,1.618778754978878,0.2729194318581056,-0.34500758297648393,0.026852421134533625,-0.1877182279849015,-0.012138776233611938,1.5027253563493694,1.344518983477621,0.7695623338078738,0.9330690418713812,0.3897905299716406,0.4137002451530571,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,0.11343965156628782,-0.6389682719702193,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.31,0.16,2.15,0.47,0.31,42.38,13.46,9.23,0.35,0.04,8.22,5.17,0.47,7.12,4.3,2.58,1.49,0.63,0.39,0.12,0.9,9.27,4.34,2.82,0.98,0.0
Jakub Kiwior,Arsenal,Poland,DEF,17,1117,-0.21571398611040443,-0.5218314052908772,-0.6507658079730139,-0.4803051430584604,-0.631529912027083,-0.572643187904888,-0.503435446259283,-0.5514426744700346,0.00544537225463017,0.050042587005317954,0.06469868669054278,1.0346279124231932,0.446542690002523,0.47261890693727965,0.8062972512630028,-0.09725151436945208,-0.13635268486641758,0.8771108131607395,-0.5156203358104511,-0.2318854811000928,-0.2388219594893863,-0.35282393532700934,-0.42153813856957967,-0.3747729344932554,-0.5983459105649196,0.285366700487703,-0.806380072894073,0.2729194318581056,0.6338946121896462,-0.049751947787333814,-0.1877182279849015,-0.052745872919861464,-0.32014024184617523,-0.31072673112133403,0.9218221583458163,-0.25928784647744224,-0.11082789206773179,1.594300470826812,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,-0.28584897586745195,-0.6389682719702193,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.08,0.0,0.24,0.08,0.0,69.37,42.95,37.14,2.09,0.48,10.64,7.49,0.0,8.14,4.19,5.24,0.0,4.59,0.73,0.24,1.77,4.27,2.18,1.61,1.05,0.0
Jorginho,Arsenal,Italy,MID,15,702,-0.5180363307339637,-0.5218314052908772,-0.6955637482082948,-0.5867030501924196,-0.631529912027083,-0.572643187904888,-0.503435446259283,-0.5514426744700346,-0.4215411927560297,-0.8348486034961564,-0.8128608727649419,-1.0443223670334958,-0.5755252589819485,-0.534758434524482,-0.6956768472851413,-0.82109081827067,-0.7917333568572378,-1.0328693039938024,-0.5156203358104511,-0.8445121358919694,-0.8161511797820347,-0.35282393532700934,-0.42153813856957967,-0.5179560678618547,-0.5983459105649196,-0.8654884075732144,-0.23200035050311096,-0.3853669230957799,-0.6792668691307723,-0.7391912680841408,-0.5873305163466993,-0.45881683978235677,-0.8452047891525006,-0.8427699965281411,-1.019490604512948,-0.7178866496885282,-0.6531645159437185,-0.9636666847996569,-0.20506763667259303,-0.20583463875273084,-0.21212765159852123,0.04689154699399786,0.8163515612507057,-0.30076400330123915,-0.22376225547110024,-0.2198238274146465,-0.1332185912175843,-0.3081052510416673,-0.16538077621219838,-0.20953522206487576,-0.10792527111095584,0.0,0.0,0.26,0.0,0.0,70.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.26,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0
