Player Name,Club,Appearances,Minutes,Goals Per 90,Assists Per 90,Shots Per 90,Shots On Target Per 90,Big Chances Missed Per 90,Touches Per 90,Passes Per 90,Successful Passes Per 90,Crosses Per 90,Successful Crosses Per 90,fThird Passes Per 90,Successful fThird Passes Per 90,Through Balls Per 90,Carries Per 90,Progressive Carries Per 90,Possession Won Per 90,Dispossessed Per 90,Clearances Per 90,Interceptions Per 90,Blocks Per 90,Tackles Per 90,Ground Duels Per 90,gDuels Won Per 90,Aerial Duels Per 90,aDuels Won Per 90,Goals Conceded Per 90
Fraser Forster,Tottenham Hotspur,7,630,0.0,0.0,0.0,0.0,0.0,34.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guglielmo Vicario,Tottenham Hotspur,24,2160,0.0,0.0,0.0,0.0,0.0,42.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
James Maddison,Tottenham Hotspur,31,1816,0.45,0.35,1.93,0.2,0.25,78.45,63.29,51.64,0.05,0.0,13.03,6.59,0.1,11.65,6.34,4.86,1.24,0.84,2.03,2.03,1.54,7.58,4.76,6.84,5.1,0.0
Kevin Danso,Tottenham Hotspur,10,843,0.0,0.0,0.75,0.0,0.0,74.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,7.47,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
Lucas Bergvall,Tottenham Hotspur,27,1206,0.0,0.07,0.9,0.22,0.0,71.57,73.13,60.52,6.12,1.72,21.34,16.34,0.15,14.1,7.99,7.76,1.42,1.57,1.87,0.3,2.91,11.57,6.57,5.0,2.91,0.0
Mathys Tel,Tottenham Hotspur,13,913,0.2,0.0,2.27,0.39,0.1,44.65,63.78,55.1,1.28,0.3,17.65,14.19,0.0,14.69,6.6,6.7,1.48,0.79,1.68,0.2,1.58,12.52,7.2,5.82,3.35,0.0
Micky van de Ven,Tottenham Hotspur,13,1018,0.0,0.18,0.53,1.33,0.09,80.98,49.33,39.43,1.15,0.35,21.31,16.0,0.44,8.93,4.86,7.6,0.44,3.36,1.33,0.44,0.88,14.94,6.81,10.34,5.3,0.0
Mikey Moore,Tottenham Hotspur,10,361,0.0,0.25,0.75,0.0,0.0,38.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Pape Sarr,Tottenham Hotspur,36,1913,0.14,0.0,1.6,0.14,0.24,63.09,63.94,57.11,0.14,0.0,10.63,7.86,0.19,21.03,13.22,2.92,1.04,1.13,0.47,0.52,2.31,3.01,1.98,2.26,0.89,0.0
Pedro Porro,Tottenham Hotspur,33,2608,0.07,0.0,1.35,0.31,0.0,80.51,45.14,39.86,2.76,0.76,12.39,10.08,0.0,10.9,6.18,5.07,0.62,2.52,1.28,0.17,2.28,6.76,3.59,2.52,1.59,0.0
Radu Dragusin,Tottenham Hotspur,16,1251,0.0,0.0,0.36,0.94,0.0,70.79,23.38,17.84,0.58,0.22,8.99,6.55,0.14,8.2,4.82,2.52,0.14,3.31,0.14,0.0,0.72,8.27,2.88,9.06,2.23,0.0
